Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
17177149,"Birds Eye Tropic Isle Fresh Frozen Coconut, 6 oz",,,Not available,TROPIC ISLE,44500,"&lt;p&gt;Birds Eye Tropic Isle Fresh Frozen Coconut is natural, tree-ripened fresh coconut flake--grated for use in all recipes calling for flake or grated coconut. Suggested uses: cake icings, fruit salads, puddings, candies, pies and custards, and cake fillings. Recipe for easy coconut custard pie is on the back of the bag.&lt;/p&gt;"
19276185,"Great Value Frozen Blueberries, 12 oz",,12 oz,Not available,Great Value,8270,
20612065,"El Sembrador Sweet Plantains, 11 oz",,,Not available,,,
20612073,"El Sembrador Fried Plantains, 12 oz",,,Not available,EL SEMBRADOR,10682,
21128475,"El Sembrador Sweet Plantains, 4 lb",,,Not available,,,
21128482,"El Sembrador Fried Plantains, 48 oz",,,Not available,EL SEMBRADOR,10681,
21269136,Dole® Strawberry Banana Fruit Smoothie Shakers® 4 oz. Bottle,,4 oz,Not available,Dole,7120200601,
21686092,"El Sembrador Coconut, 14 oz",,,Not available,EL SEMBRADOR,010109,
21829288,"Dole Whole Cranberries, 16 oz",3.67,16 oz,Not available,Dole,7120260756,
21943647,"Wyman's of Maine Fresh Frozen Blueberries, Strawberries and Mango Chunks, 3 lb",,3 lbs,Not available,Wyman's of Maine,27037,"&lt;p&gt;Wyman's of Fresh Frozen Maine Blueberries, Strawberries and Mango Chunks are a tasty way to get vibrant red, yellow, and blue color into your diet--and color is a key to healthy eating. Deep red, blue and yellow fruits are packed with vitamins, antioxidants and other nutrients that are now being studied for their potential health benefits.&lt;/p&gt;"
21977672,"El Sembrador Sour Sop Fruit Pulp, 14 oz",,14 oz,Not available,EL SEMBRADOR,10646,
21977673,"El Sembrador Passion Fruit Fruit Pulp, 14 oz",,14 oz,Not available,EL SEMBRADOR,106,
22210716,Dole® Strawberry Fruit Smoothie Shakers® 4 oz. Bottle,,4 oz,Not available,Dole,7120200301,
22569731,"Great Value Sliced Strawberries, 15.5 oz",,,Not available,Great Value,7874200670,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
