Dairy and Egg Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",31.5,1.0 fl oz,74.04 g,261.0 mg,6.81 g,-- g,7.56 g,10.04 g,134.0 kcal
"Milk, canned, evaporated, without added vitamin A and vitamin D",252.0,1.0 cup,74.04 g,261.0 mg,6.81 g,-- g,7.56 g,10.04 g,135.0 kcal
"Milk, chocolate beverage, hot cocoa, homemade",250.0,1.0 cup,82.45 g,114.0 mg,3.52 g,9.66 g,2.34 g,10.74 g,77.0 kcal
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",250.0,1.0 cup,82.17 g,194.0 mg,2.99 g,9.55 g,1.9 g,12.13 g,78.0 kcal
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",250.0,1.0 cup,82.17 g,109.0 mg,2.99 g,9.55 g,1.9 g,12.13 g,76.0 kcal
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",250.0,1.0 cup,82.3 g,112.0 mg,3.17 g,9.54 g,3.39 g,10.34 g,83.0 kcal
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",250.0,1.0 cup,84.91 g,129.0 mg,3.46 g,9.94 g,1.0 g,9.86 g,62.0 kcal
"Milk, dry, nonfat, calcium reduced",28.35,1.0 oz,4.9 g,280.0 mg,35.5 g,-- g,0.2 g,51.8 g,354.0 kcal
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",68.0,1.0 cup,3.96 g,1231.0 mg,35.1 g,-- g,0.72 g,52.19 g,358.0 kcal
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",68.0,1.0 cup,3.96 g,1231.0 mg,35.1 g,-- g,0.72 g,52.19 g,358.0 kcal
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",30.0,0.25 cup,3.16 g,1257.0 mg,36.16 g,-- g,0.77 g,51.98 g,362.0 kcal
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",30.0,0.25 cup,3.16 g,1257.0 mg,36.16 g,-- g,0.77 g,51.98 g,362.0 kcal
"Milk, dry, whole, with added vitamin D",32.0,0.25 cup,2.47 g,912.0 mg,26.32 g,-- g,26.71 g,38.42 g,496.0 kcal
"Milk, dry, whole, without added vitamin D",128.0,1.0 cup,2.47 g,912.0 mg,26.32 g,-- g,26.71 g,38.42 g,496.0 kcal
"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",252.0,1.0 cup,74.04 g,267.0 mg,6.67 g,-- g,2.0 g,15.74 g,107.0 kcal
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",244.0,1.0 cup,87.67 g,128.0 mg,3.33 g,-- g,3.46 g,4.74 g,63.0 kcal
"Milk, filled, fluid, with lauric acid oil",244.0,1.0 cup,87.73 g,128.0 mg,3.33 g,-- g,3.4 g,4.74 g,63.0 kcal
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",244.0,1.0 cup,89.92 g,125.0 mg,3.37 g,5.2 g,0.97 g,4.99 g,42.0 kcal
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",247.0,1.0 cup,90.8 g,204.0 mg,3.4 g,-- g,0.18 g,4.85 g,35.0 kcal
"Milk, goat, fluid, with added vitamin D",30.5,1.0 fl oz,87.03 g,134.0 mg,3.56 g,-- g,4.14 g,4.45 g,69.0 kcal
"Milk, human, mature, fluid",30.8,1.0 fl oz,87.5 g,32.0 mg,1.03 g,-- g,4.38 g,6.89 g,70.0 kcal
"Milk, imitation, non-soy",244.0,1.0 cup,90.0 g,82.0 mg,1.6 g,-- g,2.0 g,5.3 g,46.0 kcal
"Milk, indian buffalo, fluid",244.0,1.0 cup,83.39 g,169.0 mg,3.75 g,-- g,6.89 g,5.18 g,97.0 kcal
"Milk, low sodium, fluid",244.0,1.0 cup,88.2 g,101.0 mg,3.1 g,-- g,3.46 g,4.46 g,61.0 kcal
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",246.0,1.0 cup,88.74 g,142.0 mg,3.93 g,-- g,1.17 g,5.52 g,48.0 kcal
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",245.0,1.0 cup,89.81 g,128.0 mg,3.48 g,-- g,0.97 g,4.97 g,43.0 kcal
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",244.0,1.0 cup,89.92 g,125.0 mg,3.37 g,5.2 g,0.97 g,4.99 g,42.0 kcal
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",246.0,1.0 cup,89.36 g,143.0 mg,3.96 g,-- g,0.25 g,5.56 g,41.0 kcal
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",245.0,1.0 cup,90.38 g,129.0 mg,3.57 g,-- g,0.25 g,5.02 g,37.0 kcal
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",245.0,1.0 cup,90.84 g,122.0 mg,3.37 g,5.09 g,0.08 g,4.96 g,34.0 kcal
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",245.0,1.0 cup,90.84 g,122.0 mg,3.37 g,5.09 g,0.08 g,4.96 g,34.0 kcal
"Milk, producer, fluid, 3.7% milkfat",244.0,1.0 cup,87.69 g,119.0 mg,3.28 g,-- g,3.66 g,4.65 g,64.0 kcal
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",246.0,1.0 cup,87.71 g,143.0 mg,3.95 g,5.26 g,1.98 g,5.49 g,56.0 kcal
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",245.0,1.0 cup,88.86 g,128.0 mg,3.48 g,-- g,1.92 g,4.97 g,51.0 kcal
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",245.0,1.0 cup,87.71 g,143.0 mg,3.95 g,-- g,1.98 g,5.49 g,56.0 kcal
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",244.0,1.0 cup,89.21 g,120.0 mg,3.3 g,5.06 g,1.98 g,4.8 g,50.0 kcal
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",246.0,1.0 cup,89.21 g,120.0 mg,3.3 g,5.06 g,1.98 g,4.8 g,50.0 kcal
"Milk, sheep, fluid",245.0,1.0 cup,80.7 g,193.0 mg,5.98 g,-- g,7.0 g,5.36 g,108.0 kcal
"Milk, whole, 3.25% milkfat, with added vitamin D",244.0,1.0 cup,88.13 g,113.0 mg,3.15 g,5.05 g,3.25 g,4.8 g,61.0 kcal
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",244.0,1.0 cup,88.13 g,113.0 mg,3.15 g,5.05 g,3.27 g,4.78 g,61.0 kcal
"Nutritional supplement for people with diabetes, liquid",227.0,1.0 can,79.74 g,110.0 mg,4.4 g,2.64 g,3.08 g,11.88 g,88.0 kcal
"Parmesan cheese topping, fat free",5.0,1.0 tablespoon,8.6 g,800.0 mg,40.0 g,1.5 g,5.0 g,-- g,370.0 kcal
"Protein supplement, milk based, Muscle Milk Light, powder",50.0,2.0 scoop,-- g,1200.0 mg,50.0 g,4.0 g,12.0 g,22.0 g,396.0 kcal
"Protein supplement, milk based, Muscle Milk, powder",11.0,1.0 tbsp,15.0 g,500.0 mg,45.71 g,5.71 g,17.14 g,18.5 g,411.0 kcal
Reddi Wip Fat Free Whipped Topping,4.0,1.0 tablespoon,66.44 g,108.0 mg,3.0 g,16.0 g,5.0 g,25.0 g,149.0 kcal
"Sour cream, fat free",12.0,1.0 tablespoon,80.6 g,125.0 mg,3.1 g,0.39 g,0.0 g,15.6 g,74.0 kcal
"Sour cream, imitation, cultured",28.35,1.0 oz,71.15 g,3.0 mg,2.4 g,-- g,19.52 g,6.63 g,208.0 kcal
"Sour cream, light",12.0,1.0 tablespoon,78.1 g,141.0 mg,3.5 g,0.22 g,10.6 g,7.1 g,136.0 kcal
"Sour cream, reduced fat",12.0,1.0 tablespoon,71.0 g,141.0 mg,7.0 g,0.3 g,14.1 g,-- g,181.0 kcal
"Sour dressing, non-butterfat, cultured, filled cream-type",12.0,1.0 tbsp,74.79 g,113.0 mg,3.25 g,-- g,16.57 g,4.68 g,178.0 kcal
"USDA Commodity, cheese, cheddar, reduced fat",113.0,1.0 cup shredded,48.2 g,905.0 mg,27.2 g,0.58 g,18.3 g,2.0 g,282.0 kcal
"Whey, acid, dried",57.0,1.0 cup,3.51 g,2054.0 mg,11.73 g,-- g,0.54 g,73.45 g,339.0 kcal
"Whey, acid, fluid",246.0,1.0 cup,93.42 g,103.0 mg,0.76 g,-- g,0.09 g,5.12 g,24.0 kcal
"Whey, sweet, dried",145.0,1.0 cup,3.19 g,796.0 mg,12.93 g,-- g,1.07 g,74.46 g,353.0 kcal
"Whey, sweet, fluid",246.0,1.0 cup,93.12 g,47.0 mg,0.85 g,-- g,0.36 g,5.14 g,27.0 kcal
"Whipped cream substitute, dietetic, made from powdered mix",80.0,1.0 cup,82.3 g,3.0 mg,0.9 g,-- g,6.0 g,10.6 g,100.0 kcal
"Whipped topping, frozen, low fat",75.0,1.0 cup,59.7 g,71.0 mg,3.0 g,-- g,13.1 g,23.6 g,224.0 kcal
"Yogurt, chocolate, nonfat milk",170.0,1.0 container (6 oz),71.57 g,88.0 mg,3.53 g,14.97 g,0.0 g,23.53 g,112.0 kcal
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",170.0,1.0 container (6 oz),71.57 g,88.0 mg,3.53 g,14.97 g,0.0 g,23.53 g,112.0 kcal
"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",68.0,0.5 cup,73.5 g,159.0 mg,4.4 g,12.61 g,0.8 g,19.7 g,104.0 kcal
"Yogurt, fruit variety, nonfat",170.0,1.0 container (6 oz),75.4 g,152.0 mg,4.4 g,-- g,0.2 g,19.0 g,95.0 kcal
"Yogurt, fruit variety, nonfat, fortified with vitamin D",170.0,1.0 container (6 oz),75.4 g,152.0 mg,4.4 g,-- g,0.2 g,19.0 g,95.0 kcal
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",170.0,1.0 container (6 oz),74.48 g,152.0 mg,4.37 g,-- g,1.08 g,19.05 g,102.0 kcal
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",170.0,1.0 container (6 oz),74.48 g,152.0 mg,4.37 g,-- g,1.08 g,19.05 g,102.0 kcal
"Yogurt, fruit, low fat, 11 grams protein per 8 ounce",170.0,1.0 container (6 oz),74.1 g,169.0 mg,4.86 g,-- g,1.41 g,18.6 g,105.0 kcal
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",170.0,1.0 container (6 oz),75.3 g,138.0 mg,3.98 g,-- g,1.15 g,18.64 g,99.0 kcal
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",170.0,1.0 container (6 oz),75.3 g,138.0 mg,3.98 g,-- g,1.15 g,18.64 g,99.0 kcal
"Yogurt, fruit, lowfat, with low calorie sweetener",170.0,1.0 container (6 oz),74.1 g,152.0 mg,4.86 g,2.9 g,1.41 g,18.6 g,105.0 kcal
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",170.0,1.0 container (6 oz),74.1 g,152.0 mg,4.86 g,2.9 g,1.41 g,18.6 g,105.0 kcal
"Yogurt, Greek, nonfat, strawberry, CHOBANI",150.0,5.3 oz,79.62 g,99.0 mg,8.03 g,10.86 g,0.12 g,11.62 g,80.0 kcal
"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",150.0,5.3 oz,78.63 g,94.0 mg,8.03 g,11.63 g,0.22 g,12.53 g,84.0 kcal
"Yogurt, Greek, nonfat, vanilla, CHOBANI",150.0,5.3 oz,82.03 g,106.0 mg,9.07 g,7.61 g,0.22 g,8.09 g,71.0 kcal
"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",150.0,5.3 oz,78.5 g,89.0 mg,8.12 g,11.4 g,0.14 g,12.72 g,85.0 kcal
"Yogurt, Greek, plain, lowfat",200.0,1.0 container (7 oz),83.56 g,115.0 mg,9.95 g,3.56 g,1.92 g,3.94 g,73.0 kcal
"Yogurt, Greek, plain, nonfat",170.0,1.0 container,85.1 g,110.0 mg,10.19 g,3.24 g,0.39 g,3.6 g,59.0 kcal
"Yogurt, Greek, strawberry, DANNON OIKOS",150.0,5.3 oz,76.6 g,86.0 mg,8.25 g,11.0 g,2.92 g,11.67 g,106.0 kcal
"Yogurt, Greek, strawberry, lowfat",150.0,1.0 container (5.3 oz),76.81 g,88.0 mg,8.17 g,11.23 g,2.57 g,11.89 g,103.0 kcal
"Yogurt, Greek, strawberry, nonfat",150.0,1.0 container (5.3 oz),79.13 g,97.0 mg,8.05 g,11.27 g,0.15 g,12.07 g,82.0 kcal
"Yogurt, Greek, vanilla, nonfat",150.0,1.0 container (5.3 oz),80.26 g,99.0 mg,8.64 g,9.54 g,0.18 g,10.37 g,78.0 kcal
"Yogurt, plain, low fat, 12 grams protein per 8 ounce",170.0,1.0 container (6 oz),85.07 g,183.0 mg,5.25 g,-- g,1.55 g,7.04 g,63.0 kcal
"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",170.0,1.0 container (6 oz),85.23 g,199.0 mg,5.73 g,-- g,0.18 g,7.68 g,56.0 kcal
"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",170.0,1.0 container (6 oz),87.9 g,121.0 mg,3.47 g,-- g,3.25 g,4.66 g,61.0 kcal
"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",170.0,1.0 container,79.0 g,171.0 mg,4.93 g,5.43 g,1.25 g,13.8 g,86.0 kcal
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",170.0,1.0 container (6 oz),87.43 g,143.0 mg,3.86 g,-- g,0.18 g,7.5 g,43.0 kcal
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",170.0,1.0 container (6 oz),87.43 g,143.0 mg,3.86 g,-- g,0.18 g,7.5 g,43.0 kcal
"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce",170.0,1.0 container (6 oz),79.0 g,171.0 mg,4.93 g,-- g,1.25 g,13.8 g,85.0 kcal
"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D",170.0,1.0 container (6 oz),79.0 g,171.0 mg,4.93 g,-- g,1.25 g,13.8 g,85.0 kcal
"Yogurt, vanilla, non-fat",245.0,1.0 cup (8 fl oz),79.0 g,118.0 mg,2.94 g,5.88 g,0.0 g,17.04 g,78.0 kcal
